dist_front,dist_left,dist_right,speed,action
93.5,20.4,71.6,23.9,0
39.6,67.2,30.0,31.6,0
0.9,62.1,56.3,10.0,3
53.8,50.6,13.2,34.9,1
6.9,24.4,28.5,43.8,3
54.3,30.3,98.4,80.7,0
52.9,66.8,55.5,93.2,0
10.4,87.8,26.4,89.0,3
74.2,15.5,28.2,21.1,0
34.3,68.7,85.3,50.5,1
90.5,84.6,9.2,42.4,1
27.7,0.4,77.1,63.7,2
26.2,74.1,55.2,42.8,1
1.0,7.5,88.3,90.4,3
54.6,83.5,58.3,14.8,0
12.7,30.8,89.9,79.6,3
86.1,89.9,21.0,25.0,0
10.3,78.0,88.4,40.6,3
62.1,15.5,93.0,86.5,0
97.6,81.1,88.1,2.5,0
73.7,33.2,93.1,80.2,0
86.4,81.1,26.7,78.7,0
10.8,87.2,85.9,22.2,3
81.7,46.0,30.5,79.5,0
22.8,2.4,19.3,32.8,2
86.4,96.7,27.9,64.1,0
40.0,98.1,53.6,93.9,0
87.7,26.1,58.1,98.4,0
3.8,59.7,34.6,78.6,3
43.6,98.4,11.6,90.0,1
19.0,4.4,43.6,52.0,2
80.7,68.7,94.0,73.7,0
19.7,43.1,94.9,92.1,2
62.3,66.3,12.5,90.0,1
50.7,66.7,32.6,69.7,0
55.4,19.2,66.5,37.9,0
74.8,17.4,56.9,40.6,0
83.4,30.4,21.0,78.6,0
60.7,32.2,44.2,67.6,0
51.1,79.4,96.0,73.6,0
65.9,28.4,66.4,61.9,0
9.3,95.2,23.5,31.0,3
80.7,14.7,4.6,98.4,2
61.1,76.8,45.5,88.6,0
57.6,71.8,38.4,40.0,0
14.8,68.8,89.3,86.0,3
88.5,77.8,21.9,80.4,0
69.6,46.5,55.7,91.7,0
12.1,13.3,46.5,53.1,3
55.9,31.7,75.5,44.3,0
81.5,89.2,42.7,90.7,0
44.6,15.9,86.1,45.0,0
84.0,27.7,77.8,48.5,0
23.9,44.0,71.4,23.4,2
33.6,89.3,8.1,15.1,1
38.3,15.3,21.4,41.5,1
54.3,41.6,20.7,42.0,0
90.5,58.4,69.6,85.7,0
76.6,38.0,0.6,35.2,1
75.3,85.3,95.3,41.9,0
74.8,54.6,60.3,22.1,0
21.9,43.6,2.9,33.6,1
67.9,40.4,16.5,46.7,0
12.8,62.2,2.7,39.4,3
56.4,2.7,64.3,13.6,2
46.2,5.0,37.9,21.2,2
32.7,76.1,37.9,75.2,1
25.2,8.2,1.9,53.9,1
100.0,35.0,65.0,78.1,0
65.2,75.4,95.0,19.9,0
2.0,15.2,12.6,66.9,3
56.4,21.8,69.9,76.7,0
16.8,60.7,74.8,11.5,2
81.9,96.5,10.8,2.6,1
31.2,67.7,95.8,39.7,2
19.8,59.2,83.1,24.3,2
69.7,30.2,68.4,80.6,0
79.6,56.6,4.1,53.3,1
66.2,6.9,64.8,1.3,2
42.0,49.0,43.4,36.2,1
70.7,43.5,73.4,96.5,0
27.0,80.8,53.8,48.3,1
43.6,73.1,26.8,85.2,0
27.9,45.1,75.0,57.0,2
66.8,33.6,49.4,32.5,0
48.8,35.5,25.8,28.0,2
70.1,27.6,1.0,94.8,1
8.6,72.0,48.9,75.8,3
69.1,64.6,49.1,79.3,0
9.3,22.2,69.2,30.6,3
58.2,47.3,53.1,42.6,0
74.6,33.1,70.3,27.1,0
25.1,12.1,19.3,12.0,2
53.6,76.2,18.5,21.6,0
48.4,72.5,97.7,52.5,1
98.1,83.3,29.6,36.1,0
30.2,70.8,12.7,4.6,1
5.5,29.2,94.4,63.8,3
75.3,10.3,1.2,28.4,2
47.9,34.1,96.5,25.2,1
11.4,6.5,49.2,57.7,3
68.6,15.2,81.1,94.9,0
8.5,24.8,55.8,41.6,3
59.6,61.8,77.6,38.0,0
90.9,29.7,58.9,42.9,0
56.9,6.0,96.0,9.9,2
76.3,62.6,26.5,8.1,0
24.0,55.2,15.7,40.9,1
68.9,47.0,3.3,28.8,1
28.3,86.0,7.1,23.3,1
26.5,79.1,59.0,80.4,1
19.8,11.5,22.5,14.9,2
26.6,14.2,6.0,79.3,1
59.5,82.4,92.1,43.9,0
46.9,30.4,40.3,27.2,2
49.4,8.0,4.0,43.2,2
32.2,25.0,9.1,96.2,1
83.6,57.5,95.1,100.0,0
67.2,27.0,4.0,75.6,1
47.1,65.2,91.6,18.1,2
43.6,81.4,96.9,47.0,1
33.3,67.0,85.8,33.0,2
49.5,66.3,40.0,76.0,0
45.5,31.5,32.3,97.0,1
86.5,82.5,0.1,86.9,1
46.2,5.4,51.8,62.3,2
49.8,44.2,5.2,26.7,1
13.1,28.8,88.1,48.5,3
2.9,63.0,79.9,71.0,3
31.1,1.4,40.8,22.5,2
84.1,11.3,94.7,64.8,2
15.4,93.3,29.2,70.5,1
41.5,48.2,47.2,45.7,0
38.4,92.2,50.8,87.9,0
27.6,79.0,41.5,93.4,1
50.8,82.1,28.3,29.9,0
58.7,99.9,49.0,14.9,0
53.9,34.5,55.2,54.3,0
45.5,32.2,18.9,69.7,2
38.3,85.6,41.1,31.8,1
70.5,81.1,38.6,66.4,0
82.1,98.1,49.5,3.7,0
50.2,59.0,87.0,87.4,0
44.0,52.6,45.7,72.2,1
87.1,97.0,7.5,78.2,1
26.5,62.3,39.7,8.0,1
32.9,67.4,53.4,95.4,2
71.9,75.9,87.2,3.6,0
6.8,63.1,92.1,99.7,3
74.7,43.4,9.8,63.4,1
87.3,44.4,69.4,90.3,0
4.6,79.6,29.3,37.5,3
14.6,53.1,56.6,79.3,3
17.0,7.9,87.1,62.0,2
24.1,91.3,14.3,46.1,1
25.4,25.5,0.9,80.5,1
90.1,67.8,15.8,44.2,0
34.6,58.8,63.9,42.4,1
45.7,30.2,99.9,85.3,0
23.7,57.2,57.5,99.3,2
29.5,97.8,65.8,27.4,1
56.6,68.6,74.5,4.9,0
60.6,49.7,90.4,28.6,0
79.9,60.7,35.2,63.7,0
62.1,67.8,72.1,65.9,0
83.8,62.8,90.3,64.6,0
30.9,44.1,58.0,73.2,0
91.0,32.7,41.6,20.1,0
78.7,87.6,36.6,50.2,0
27.3,16.5,91.4,94.4,2
96.7,29.5,87.0,80.4,0
46.8,7.5,75.4,22.6,2
67.6,67.4,39.7,84.6,0
55.7,9.0,39.5,26.4,2
12.4,36.9,74.9,26.2,3
38.1,63.9,37.1,67.5,1
2.5,88.4,56.1,91.5,3
22.1,6.3,82.4,90.9,2
30.2,40.8,14.0,94.6,1
30.4,49.3,9.7,88.7,1
13.6,45.4,67.0,74.3,3
94.6,41.9,74.2,15.5,0
41.5,9.9,48.9,40.8,2
95.2,3.3,37.1,44.3,2
95.1,85.5,9.9,68.6,1
54.4,97.8,35.9,39.8,0
19.0,12.2,84.8,45.5,2
66.3,64.2,59.7,2.1,0
78.7,24.4,12.6,56.5,1
6.9,76.5,20.7,21.6,3
87.0,32.9,14.8,90.1,1
0.3,85.8,14.5,13.0,3
25.1,17.4,66.1,2.6,2
1.5,79.0,23.8,32.4,3
17.4,5.2,74.2,52.6,2
74.6,47.6,77.8,51.3,0
10.9,50.4,94.5,4.3,3
78.3,86.7,52.1,45.8,0
96.4,6.1,47.9,40.2,2
68.6,49.0,91.0,7.3,0
8.1,60.8,6.6,27.5,3
63.3,54.8,32.5,99.5,0
53.1,45.4,60.5,9.9,0
70.2,85.3,65.1,76.9,0
72.1,21.5,45.2,22.8,0
33.9,45.3,41.6,9.5,1
31.3,25.5,95.4,68.7,1
6.7,83.2,9.3,9.7,3
73.9,81.2,55.6,58.6,0
56.2,33.0,12.2,35.4,1
66.5,75.0,86.8,72.1,0
96.8,60.0,35.2,57.8,0
21.3,65.7,22.4,10.8,1
84.5,36.8,76.3,57.4,0
80.7,84.5,97.5,81.8,0
61.4,64.3,2.6,92.9,1
82.9,26.7,18.0,70.3,0
30.9,34.0,0.6,87.0,1
56.6,40.1,14.2,63.3,1
3.1,74.6,21.5,42.0,3
34.1,37.0,72.2,77.7,2
59.6,88.3,15.6,75.4,0
5.0,8.2,44.3,42.4,3
60.7,41.4,21.6,51.2,0
34.5,11.1,67.8,59.3,2
52.7,30.8,22.1,98.4,0
5.5,20.4,94.5,76.7,3
76.4,28.9,12.0,49.7,1
43.1,12.9,53.3,23.0,2
55.9,66.8,35.4,39.7,0
74.2,43.6,46.0,7.8,0
31.3,42.9,40.4,64.0,1
11.5,2.1,32.5,80.1,3
61.8,83.2,92.0,8.8,0
84.4,24.3,58.9,52.4,0
39.6,31.0,34.0,33.3,0
7.6,63.3,53.1,19.4,3
77.6,35.1,95.8,64.5,0
14.8,10.3,25.6,17.3,3
15.3,75.9,7.5,95.1,1
62.8,46.4,56.4,57.9,0
68.1,88.2,64.3,98.7,0
32.3,97.1,31.6,44.0,1
44.2,30.3,27.5,5.6,2
7.4,46.2,3.8,36.9,3
28.7,64.5,97.7,9.0,2
59.4,38.4,58.0,95.4,0
73.9,4.1,90.9,57.2,2
18.8,60.5,50.1,95.8,1
45.1,81.1,83.7,98.2,0
50.5,17.3,24.8,43.8,0
43.9,52.3,15.9,37.3,1
38.7,77.4,67.9,5.2,2
64.7,6.6,9.5,67.8,2
28.4,72.4,65.7,90.6,1
87.3,33.3,58.3,14.1,0
35.0,96.8,69.8,39.2,2
70.9,8.5,55.9,64.3,2
32.8,12.8,70.3,94.7,2
99.7,91.2,9.3,67.0,1
50.8,1.8,30.9,95.1,2
34.2,76.6,19.2,100.0,0
7.7,84.4,10.1,77.1,3
83.5,88.4,3.8,33.7,1
76.6,13.1,37.7,16.2,2
83.1,77.1,80.9,16.6,0
43.8,41.1,67.6,23.8,1
61.1,75.2,78.4,23.4,0
23.9,96.6,78.4,90.4,1
19.4,67.8,57.0,44.1,1
76.9,77.8,50.3,41.9,0
16.2,20.0,60.5,87.3,2
5.2,48.1,37.1,93.4,3
71.1,51.6,12.5,8.4,1
16.0,44.9,51.3,83.1,2
9.2,91.1,81.7,88.5,3
93.0,41.5,39.6,37.4,0
38.6,8.2,22.5,31.9,2
9.9,71.5,33.5,14.6,3
3.8,91.7,47.2,83.1,3
75.9,46.9,61.5,90.6,0
1.9,21.6,15.0,94.0,3
60.9,42.3,77.6,23.8,0
12.2,23.8,63.9,62.3,3
6.3,83.7,50.0,53.6,3
63.2,57.5,71.9,29.1,0
0.2,35.3,57.1,18.7,3
66.8,52.3,36.1,95.3,0
54.4,78.6,50.8,2.0,0
87.3,4.4,38.7,37.3,2
74.7,35.7,6.8,24.1,1
65.7,10.4,58.2,75.7,2
13.3,35.2,33.9,64.3,3
83.0,68.5,98.1,47.9,0
18.2,13.5,71.6,94.4,2
3.7,20.2,79.1,88.6,3
31.6,31.0,39.8,81.5,1
25.3,75.3,19.1,35.7,1
78.1,86.6,33.2,12.4,0
36.8,88.9,74.3,89.5,1
33.9,18.7,69.2,36.7,2
26.7,8.3,42.4,43.1,2
99.5,18.0,29.4,10.3,0
32.8,29.6,44.6,71.8,0
69.0,35.2,4.2,87.0,1
35.3,99.8,27.5,98.0,0
7.5,63.8,36.3,80.1,3
67.9,95.3,14.3,60.8,1
78.1,3.5,6.7,77.9,2
36.6,38.3,56.7,60.5,2
45.0,37.1,44.4,7.7,0
52.9,39.8,65.0,25.0,0
11.3,73.6,49.9,38.7,3
56.2,26.2,26.0,44.6,0
99.6,28.6,91.6,49.1,0
12.3,85.3,45.2,89.9,3
44.5,8.8,68.2,84.6,2
32.0,34.7,6.5,54.2,1
89.1,85.1,71.2,92.7,0
63.8,79.4,50.9,12.1,0
20.1,13.9,79.0,2.6,2
55.4,36.9,80.4,55.2,0
61.2,8.6,30.9,100.0,2
71.9,52.6,76.9,82.3,0
7.4,97.2,64.2,45.0,3
68.0,34.5,87.8,78.0,0
64.0,18.2,96.6,43.3,0
91.1,5.5,12.4,15.3,2
16.5,32.3,70.9,34.6,2
94.1,89.5,84.6,25.1,0
63.5,55.1,12.5,30.3,1
53.3,50.3,16.9,94.2,0
15.4,65.9,72.1,60.5,2
84.3,56.4,82.5,2.8,0
4.5,64.1,57.7,65.1,3
76.7,41.7,63.9,49.8,0
62.7,29.0,95.7,48.3,0
80.5,68.5,29.7,7.3,0
6.0,44.0,48.4,20.4,3
60.7,31.3,71.8,73.4,0
86.1,97.5,13.1,37.1,1
56.2,31.9,46.6,26.7,0
24.8,9.7,29.0,38.4,2
61.5,24.8,86.5,16.0,0
32.7,57.8,31.3,76.3,1
99.6,46.7,87.9,49.7,0
9.0,39.3,45.7,24.1,3
58.3,4.9,28.1,59.8,2
84.3,67.3,28.6,0.8,0
10.7,13.4,26.4,36.6,3
40.3,4.5,5.1,56.2,2
36.3,28.9,38.6,45.0,2
28.0,98.9,68.0,11.9,1
97.5,39.4,79.5,33.9,0
93.9,75.5,19.9,50.9,0
50.0,4.5,13.7,33.3,2
47.4,45.7,60.6,51.6,1
93.1,31.9,39.3,61.7,0
84.3,59.4,50.7,51.0,0
49.0,56.3,47.5,1.7,1
67.4,98.0,58.4,79.7,0
72.5,68.8,2.7,47.5,1
96.7,78.3,77.6,57.8,0
72.1,58.4,17.1,62.9,0
62.0,84.1,14.8,68.1,1
3.2,94.8,11.0,1.9,3
31.4,15.1,69.1,41.0,2
92.1,87.3,73.6,6.2,0
13.8,20.7,32.5,66.2,3
52.5,31.4,17.3,91.2,0
34.2,35.4,77.2,72.1,2
80.4,26.4,48.4,95.7,0
27.9,29.8,94.1,98.2,2
77.1,70.5,69.0,48.9,0
48.0,56.0,93.4,72.2,1
12.2,67.7,38.0,98.0,3
81.8,95.5,80.5,29.0,0
28.8,71.4,34.6,44.2,1
25.6,47.9,20.2,53.9,1
93.3,69.6,13.7,61.6,1
58.7,24.2,67.0,53.1,0
63.8,5.2,41.3,71.7,2
10.1,77.1,0.5,55.0,3
92.9,40.7,93.5,87.8,0
47.7,19.9,96.4,32.1,2
5.9,76.9,65.2,23.2,3
73.9,85.0,3.7,92.1,1
41.8,83.8,93.4,3.6,1
78.8,18.6,74.9,87.2,0
28.9,3.7,29.8,60.3,2
92.8,33.5,45.4,64.1,0
52.4,88.9,13.4,50.4,1
27.3,80.9,33.1,73.1,1
64.8,71.9,1.4,33.7,1
29.5,67.4,19.3,61.1,1
63.9,40.5,42.8,32.8,0
40.1,9.5,98.2,47.7,2
93.6,0.7,38.4,44.7,2
26.7,33.0,58.2,57.3,2
26.2,36.0,23.6,66.8,1
46.5,16.0,68.6,92.3,2
77.0,69.0,63.9,94.1,0
36.8,22.1,95.7,47.8,1
74.8,60.6,41.6,54.9,0
47.1,53.8,66.4,21.8,0
68.0,59.6,78.7,52.6,0
52.8,36.2,91.7,11.2,0
82.9,90.3,20.2,53.7,0
16.5,85.4,44.2,68.0,1
71.7,48.9,89.9,44.5,0
5.6,13.2,41.5,56.4,3
55.9,67.3,30.8,2.2,0
25.4,0.3,21.8,7.3,2
42.4,70.0,54.1,6.0,0
98.6,47.2,28.7,18.0,0
13.5,64.2,72.9,96.4,3
37.4,89.1,44.9,91.7,1
37.6,68.3,66.2,53.9,2
86.0,11.9,99.3,39.3,2
12.7,97.9,83.5,75.6,3
97.8,46.3,71.9,42.4,0
37.9,23.0,46.1,15.5,0
93.7,72.5,11.3,80.9,1
41.9,76.6,88.4,1.6,0
6.7,59.4,44.6,67.2,3
87.2,24.5,4.4,43.9,1
54.0,75.4,77.6,14.0,0
99.3,23.4,91.6,57.6,0
57.7,77.3,81.8,23.7,0
87.6,98.6,52.1,41.4,0
27.5,55.7,59.2,73.5,2
17.5,67.9,55.6,4.7,1
34.4,64.3,38.1,52.4,2
41.6,14.9,37.6,75.4,2
47.4,84.9,30.1,70.8,1
91.5,56.2,96.8,55.7,0
13.4,24.3,20.3,64.7,3
92.2,84.7,9.2,72.5,1
19.0,26.8,67.4,60.3,2
87.4,18.8,76.2,72.4,0
